ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/01/2026,Child,Letterkenny University Hospital,51,4,2,2,58
29/01/2026,Child,Mayo University Hospital,4,1,0,0,5
29/01/2026,Child,Midland Regional Hospital Mullingar,12,2,0,0,14
29/01/2026,Child,Midland Regional Hospital Portlaoise,19,0,0,0,19
29/01/2026,Child,Midland Regional Hospital Tullamore,222,59,2,2,284
29/01/2026,Child,National Orthopaedic Hospital Cappagh,27,5,0,0,32
29/01/2026,Child,Nenagh Hospital,10,2,0,0,12
29/01/2026,Child,Our Lady of Lourdes Hospital Drogheda,66,20,4,7,96
29/01/2026,Child,Portiuncula University Hospital,24,0,0,0,24
29/01/2026,Child,Roscommon University Hospital,5,2,0,0,7
29/01/2026,Child,Rotunda Hospital,2,0,0,0,2
29/01/2026,Child,Royal Victoria Eye and Ear Hospital,49,29,15,8,101
29/01/2026,Child,Sligo University Hospital,107,14,16,7,144
29/01/2026,Child,South Infirmary Victoria University Hospital,247,49,9,6,311
29/01/2026,Child,St. Luke's General Hospital Kilkenny,3,0,0,0,3
29/01/2026,Child,Tipperary University Hospital,26,0,0,0,26
29/01/2026,Child,University Hospital Kerry,12,1,1,0,15
29/01/2026,Child,University Hospital Limerick,205,96,23,0,324
29/01/2026,Child,University Hospital Waterford,183,92,27,52,354
29/01/2026,Child,Wexford General Hospital,15,2,0,0,16
26/02/2026,Adult,Bantry General Hospital,128,0,0,0,128
26/02/2026,Adult,Beaumont Hospital,"5,618","3,332","1,683","1,394","12,026"
26/02/2026,Adult,Cavan General Hospital,411,7,0,0,418
26/02/2026,Adult,Connolly Hospital Blanchardstown,"1,575",331,31,8,"1,944"
26/02/2026,Adult,Coombe Women and Infants University Hospital,24,3,0,0,27
26/02/2026,Adult,Cork University Hospital,"1,131",413,203,73,"1,819"
26/02/2026,Adult,Cork University Maternity Hospital,613,83,4,0,700
26/02/2026,Adult,Croom Orthopaedic Hospital,548,263,101,0,912
26/02/2026,Adult,Ennis Hospital,511,179,8,2,700
26/02/2026,Adult,Galway University Hospitals,"7,101","2,703","1,640","1,920","13,364"
26/02/2026,Adult,Kilcreene Regional Orthopaedic Hospital,550,204,13,0,767
26/02/2026,Adult,Letterkenny University Hospital,"2,709",479,141,68,"3,397"
26/02/2026,Adult,Louth County Hospital,532,68,2,0,603
26/02/2026,Adult,Mallow General Hospital,267,118,10,0,394
26/02/2026,Adult,Mater Misericordiae University Hospital,"5,884","2,391",944,"1,491","10,711"
26/02/2026,Adult,Mayo University Hospital,981,192,44,15,"1,231"
26/02/2026,Adult,Mercy University Hospital,827,300,52,12,"1,191"
26/02/2026,Adult,Midland Regional Hospital Mullingar,365,61,4,0,430
26/02/2026,Adult,Midland Regional Hospital Portlaoise,202,55,32,14,302
26/02/2026,Adult,Midland Regional Hospital Tullamore,"1,425",657,282,109,"2,473"
26/02/2026,Adult,Naas General Hospital,317,67,26,0,410
26/02/2026,Adult,National Maternity Hospital (Holles Street),329,108,58,52,547
26/02/2026,Adult,National Orthopaedic Hospital Cappagh,"1,551",352,53,2,"1,958"
26/02/2026,Adult,Nenagh Hospital,977,705,192,6,"1,879"
26/02/2026,Adult,Our Lady of Lourdes Hospital Drogheda,597,219,121,52,990
26/02/2026,Adult,Our Lady's Hospital Navan,591,76,1,0,668
26/02/2026,Adult,Portiuncula University Hospital,417,69,26,12,524
26/02/2026,Adult,Roscommon University Hospital,632,101,35,77,846
26/02/2026,Adult,Rotunda Hospital,441,93,8,5,547
26/02/2026,Adult,Royal Victoria Eye and Ear Hospital,"2,196",985,244,321,"3,746"
26/02/2026,Adult,Sligo University Hospital,"2,063",646,292,272,"3,274"
26/02/2026,Adult,South Infirmary Victoria University Hospital,"3,092",910,456,384,"4,841"
26/02/2026,Adult,St. Columcille's Hospital,395,71,14,2,482
26/02/2026,Adult,St. James's Hospital,"4,254","1,510",470,471,"6,706"
26/02/2026,Adult,St. John's Hospital Limerick,674,299,17,5,995
26/02/2026,Adult,St. Luke's General Hospital Kilkenny,454,139,31,19,643
26/02/2026,Adult,St. Michael's Hospital,"1,059",321,107,54,"1,540"
26/02/2026,Adult,St. Vincent's University Hospital,"3,299",782,349,227,"4,657"
26/02/2026,Adult,Tallaght University Hospital,"3,345","1,096",600,485,"5,526"
26/02/2026,Adult,Tipperary University Hospital,453,98,7,2,560
26/02/2026,Adult,University Hospital Kerry,510,82,13,0,605
26/02/2026,Adult,University Hospital Limerick,"1,669",895,474,249,"3,287"
26/02/2026,Adult,University Hospital Waterford,"3,393","1,055",461,781,"5,690"
26/02/2026,Adult,Wexford General Hospital,755,193,59,27,"1,033"
26/02/2026,Child,Beaumont Hospital,9,0,0,0,9
26/02/2026,Child,Cavan General Hospital,28,0,0,0,28
26/02/2026,Child,Children's Health Ireland,"3,375","1,466",689,351,"5,881"
26/02/2026,Child,Cork University Hospital,163,103,83,13,362
26/02/2026,Child,Cork University Maternity Hospital,2,0,0,0,2
26/02/2026,Child,Croom Orthopaedic Hospital,2,0,0,0,2
26/02/2026,Child,Ennis Hospital,2,0,0,0,2
26/02/2026,Child,Galway University Hospitals,304,104,84,146,638
26/02/2026,Child,Letterkenny University Hospital,55,6,4,0,65
26/02/2026,Child,Mayo University Hospital,6,2,0,0,8
26/02/2026,Child,Midland Regional Hospital Mullingar,11,2,0,0,13
26/02/2026,Child,Midland Regional Hospital Portlaoise,9,0,0,0,9
26/02/2026,Child,Midland Regional Hospital Tullamore,203,41,0,2,247
26/02/2026,Child,National Maternity Hospital (Holles Street),1,0,0,0,1
26/02/2026,Child,National Orthopaedic Hospital Cappagh,34,8,0,0,41
26/02/2026,Child,Nenagh Hospital,6,2,0,0,8
26/02/2026,Child,Our Lady of Lourdes Hospital Drogheda,61,14,14,11,99
26/02/2026,Child,Portiuncula University Hospital,7,2,0,0,9
26/02/2026,Child,Roscommon University Hospital,5,1,0,0,6
26/02/2026,Child,Rotunda Hospital,2,0,0,0,2
26/02/2026,Child,Royal Victoria Eye and Ear Hospital,55,29,16,7,108
26/02/2026,Child,Sligo University Hospital,94,20,17,7,138
26/02/2026,Child,South Infirmary Victoria University Hospital,246,69,6,6,327
26/02/2026,Child,St. Luke's General Hospital Kilkenny,3,0,0,0,3
26/02/2026,Child,Tipperary University Hospital,14,0,0,0,14
26/02/2026,Child,University Hospital Kerry,7,3,2,0,12
26/02/2026,Child,University Hospital Limerick,210,84,15,0,309
26/02/2026,Child,University Hospital Waterford,196,86,32,51,365
26/02/2026,Child,Wexford General Hospital,18,2,0,0,20
26/03/2026,Adult,Bantry General Hospital,157,0,0,0,157
26/03/2026,Adult,Beaumont Hospital,"5,774","3,397","1,766","1,714","12,650"
26/03/2026,Adult,Cavan General Hospital,314,20,1,1,337
26/03/2026,Adult,Connolly Hospital Blanchardstown,"1,574",391,41,4,"2,010"
26/03/2026,Adult,Coombe Women and Infants University Hospital,25,3,0,0,27
26/03/2026,Adult,Cork University Hospital,"1,144",421,194,92,"1,851"
26/03/2026,Adult,Cork University Maternity Hospital,581,90,4,0,675
26/03/2026,Adult,Croom Orthopaedic Hospital,490,248,131,0,869
26/03/2026,Adult,Ennis Hospital,610,173,18,2,803
26/03/2026,Adult,Galway University Hospitals,"7,148","2,513","1,575","1,992","13,227"
26/03/2026,Adult,Kilcreene Regional Orthopaedic Hospital,527,223,22,0,772
26/03/2026,Adult,Letterkenny University Hospital,"2,707",508,136,40,"3,391"
26/03/2026,Adult,Louth County Hospital,639,86,2,0,726
26/03/2026,Adult,Mallow General Hospital,244,144,2,0,390
26/03/2026,Adult,Mater Misericordiae University Hospital,"5,817","2,414",985,"1,458","10,674"
26/03/2026,Adult,Mayo University Hospital,977,226,39,12,"1,253"
26/03/2026,Adult,Mercy University Hospital,893,299,70,10,"1,271"
26/03/2026,Adult,Midland Regional Hospital Mullingar,396,75,4,2,476
26/03/2026,Adult,Midland Regional Hospital Portlaoise,212,67,18,14,312
26/03/2026,Adult,Midland Regional Hospital Tullamore,"1,414",746,279,138,"2,577"
26/03/2026,Adult,Naas General Hospital,345,75,29,0,449
26/03/2026,Adult,National Maternity Hospital (Holles Street),353,113,51,57,574
26/03/2026,Adult,National Orthopaedic Hospital Cappagh,"1,718",361,51,2,"2,132"
26/03/2026,Adult,Nenagh Hospital,957,735,155,4,"1,851"
26/03/2026,Adult,Our Lady of Lourdes Hospital Drogheda,596,194,66,22,878
26/03/2026,Adult,Our Lady's Hospital Navan,496,90,2,2,590
26/03/2026,Adult,Portiuncula University Hospital,411,65,33,5,513
26/03/2026,Adult,Roscommon University Hospital,618,88,33,74,814
26/03/2026,Adult,Rotunda Hospital,431,106,12,8,557
26/03/2026,Adult,Royal Victoria Eye and Ear Hospital,"1,896","1,027",271,346,"3,540"
26/03/2026,Adult,Sligo University Hospital,"2,055",597,302,250,"3,204"
26/03/2026,Adult,South Infirmary Victoria University Hospital,"2,981",935,461,324,"4,701"
26/03/2026,Adult,St. Columcille's Hospital,442,93,16,2,553
26/03/2026,Adult,St. James's Hospital,"4,347","1,619",530,490,"6,986"
26/03/2026,Adult,St. John's Hospital Limerick,644,251,69,2,966
26/03/2026,Adult,St. Luke's General Hospital Kilkenny,445,141,32,18,635
26/03/2026,Adult,St. Michael's Hospital,"1,145",332,116,55,"1,648"
26/03/2026,Adult,St. Vincent's University Hospital,"3,290",822,373,235,"4,720"
26/03/2026,Adult,Tallaght University Hospital,"3,252","1,119",573,536,"5,480"
26/03/2026,Adult,Tipperary University Hospital,409,87,8,0,504
26/03/2026,Adult,University Hospital Kerry,477,78,10,0,566
26/03/2026,Adult,University Hospital Limerick,"1,687",942,445,271,"3,345"
26/03/2026,Adult,University Hospital Waterford,"3,511","1,099",473,697,"5,779"
26/03/2026,Adult,Wexford General Hospital,734,197,45,25,"1,000"
26/03/2026,Child,Beaumont Hospital,4,2,0,2,8
26/03/2026,Child,Cavan General Hospital,16,3,3,0,21
26/03/2026,Child,Children's Health Ireland,"3,334","1,536",694,369,"5,933"
26/03/2026,Child,Cork University Hospital,152,129,80,21,382
26/03/2026,Child,Cork University Maternity Hospital,1,0,0,0,1
26/03/2026,Child,Croom Orthopaedic Hospital,3,0,0,0,3
26/03/2026,Child,Ennis Hospital,5,0,0,0,5
26/03/2026,Child,Galway University Hospitals,337,102,71,152,662
26/03/2026,Child,Letterkenny University Hospital,46,11,2,0,59
26/03/2026,Child,Mayo University Hospital,7,2,0,0,9
26/03/2026,Child,Midland Regional Hospital Mullingar,16,1,0,0,17
26/03/2026,Child,Midland Regional Hospital Portlaoise,13,0,0,0,13
26/03/2026,Child,Midland Regional Hospital Tullamore,209,27,0,0,236
26/03/2026,Child,National Maternity Hospital (Holles Street),1,0,0,0,1
26/03/2026,Child,National Orthopaedic Hospital Cappagh,33,4,0,0,36
26/03/2026,Child,Nenagh Hospital,5,3,0,0,8
26/03/2026,Child,Our Lady of Lourdes Hospital Drogheda,75,12,13,7,107
26/03/2026,Child,Portiuncula University Hospital,5,2,0,0,7
26/03/2026,Child,Roscommon University Hospital,4,2,0,0,6
26/03/2026,Child,Rotunda Hospital,4,0,0,0,4
26/03/2026,Child,Royal Victoria Eye and Ear Hospital,37,28,15,11,90
26/03/2026,Child,Sligo University Hospital,102,26,17,7,152
26/03/2026,Child,South Infirmary Victoria University Hospital,236,78,4,6,323
26/03/2026,Child,St. Luke's General Hospital Kilkenny,5,0,0,0,5
26/03/2026,Child,Tipperary University Hospital,13,0,0,0,13
26/03/2026,Child,University Hospital Kerry,6,3,1,0,10
26/03/2026,Child,University Hospital Limerick,198,92,20,0,311
26/03/2026,Child,University Hospital Waterford,183,84,27,53,347
26/03/2026,Child,Wexford General Hospital,11,3,0,0,14
